restaurant_name,googlemap_name,address,rating,review_count,price,category,image
샤브로21 신촌(Shaburo21 Sinchon),샤브로21 신촌(Shaburo21 Sinchon),서울특별시 서대문구 창천동 연세로7안길 46 1층,4.6,16.0,"₩1~10,000",샤브샤브 전문점,https://lh5.googleusercontent.com/p/AF1QipOdr3nIQk3jSKdL9LYOVG-I7OaWkK7T6-wERuPt=w408-h408-k-no
쟁반집8292 신촌점,쟁반집8292 신촌점,서울특별시 서대문구 창천동 13-21,4.6,55.0,"₩20,000~30,000",고기 요리 전문점,https://lh5.googleusercontent.com/p/AF1QipNpEK7MlvOhxao2pRRb_Se_TM3eSbbtBTecdIU4=w408-h408-k-no
마미당 닭볶음탕전문점 신촌,마미당 닭볶음탕전문점,서울특별시 서대문구 창천동 53-96,4.4,41.0,"₩10,000~20,000",한식당,https://lh5.googleusercontent.com/p/AF1QipOjKuw-BsZ4ztRknbfKwOMDOsuyU6QRVQgaHGjL=w408-h306-k-no
젊은소나무 신촌,젊은소나무,서울특별시 서대문구 신촌동 연세로4길 28,4.3,26.0,"₩10,000~20,000",이자카야,https://lh5.googleusercontent.com/p/AF1QipP22awRwivjyLieiQZv5zcVqiciQHaaANPel0FS=w408-h306-k-no
최루탄해장라면 훼드라 신촌,최루탄해장라면 훼드라,서울특별시 서대문구 연세로5길 32,4.0,51.0,"₩10,000~20,000",음식점,https://lh5.googleusercontent.com/onyrb_cojF8Y0Z3nS9TPc6fgCjB5ed8Kiwd4rdyhlTndXQKvonjIxZ-g3oCJfxc=w408-h306-k-no
만냥하우스 신촌,만냥하우스,서울특별시 서대문구 신촌동 성산로 402-1,4.5,56.0,,음식점,https://lh5.googleusercontent.com/p/AF1QipN-0RXxdVkwyBZg38uSd_jYpitRN2M_X8UwGTqx=w408-h306-k-no
고바우 신촌,고바우,서울특별시 서대문구 명물1길 22,4.2,57.0,"₩10,000~20,000",한식 고기구이 레스토랑,https://lh5.googleusercontent.com/p/AF1QipPx1tzY-j45v5z2TUkspm7WOxLQ2iMl6s4Ycy1s=w426-h240-k-no
쭈꾸미블루스 신촌본점,쭈꾸미블루스 신촌본점,서울특별시 마포구 백범로1길 21,4.1,340.0,"₩10,000~20,000",한식당,https://lh5.googleusercontent.com/p/AF1QipM8CzwkSkDq3tKaMzlrgl3QL2MoRfsCMwMtUdLc=w408-h408-k-no
롤링파스타 신촌점,롤링파스타 신촌점,서울특별시 서대문구 창천동 18-1번지 2층,4.1,174.0,"₩10,000~20,000",이탈리아 음식점,https://lh5.googleusercontent.com/p/AF1QipOQ_S7fw75lHQZalryl6ZadQO5SAqmxmaA-GZR7=w408-h306-k-no
통큰갈비 신촌본점,통큰갈비 신촌본점,서울특별시 서대문구 연세로5다길 40,4.4,528.0,"₩10,000~20,000",한식 고기구이 레스토랑,https://lh5.googleusercontent.com/p/AF1QipOfN88M-06JnGLcmtJfKvw8W-pgZ5KS961NQtCZ=w426-h240-k-no
머노까머나 신촌점,머노까머나 신촌점,서울특별시 서대문구 연세로11길 13,4.1,202.0,"₩10,000~30,000",인도 레스토랑,https://lh5.googleusercontent.com/p/AF1QipNvnbo0z4TBXgZrFjr-92YHa06NpEdav7VKq9i4=w408-h408-k-no
